OrderID,CustomerID,Region,Category,ProductName,Quantity,UnitPrice,Revenue,OrderDate,BillingStatus,TicketOpenDate,TicketCloseDate,Month,DaysToClose,ClosedWithin7
ORD-1064,CUST-055,North,Equipment,Motor Assembly,6,1108.09,6648.54,2024-07-31,Billed,2024-07-31,2024-08-04,2024-07,4,True
ORD-1065,CUST-108,West,Spare Parts,Valve Kit,8,61.5,492.0,2024-06-29,Pending,2024-06-29,2024-07-12,2024-06,13,False
ORD-1066,CUST-100,West,Service Contract,Premium Plan,4,582.22,2328.88,2024-09-05,Billed,2024-09-05,2024-09-12,2024-09,7,True
ORD-1067,CUST-087,West,Service Contract,Premium Plan,3,1962.41,5887.23,2024-09-30,Billed,2024-09-30,2024-10-07,2024-09,7,True
ORD-1068,CUST-145,North,Spare Parts,Valve Kit,3,1740.36,5221.08,2024-04-03,Billed,2024-04-03,2024-04-08,2024-04,5,True
ORD-1069,CUST-098,East,Service Contract,Premium Plan,6,708.13,4248.78,2024-07-13,Pending,2024-07-13,2024-07-26,2024-07,13,False
ORD-1070,CUST-108,East,Spare Parts,Valve Kit,1,1510.6,1510.6,2024-01-27,Pending,2024-01-27,2024-01-31,2024-01,4,True
ORD-1071,CUST-018,North,Spare Parts,Pump Seal,4,1686.5,6746.0,2024-11-14,Billed,2024-11-14,2024-11-18,2024-11,4,True
ORD-1072,CUST-033,West,Spare Parts,Pump Seal,8,1413.96,11311.68,2024-07-07,Billed,2024-07-07,2024-07-17,2024-07,10,False
ORD-1073,CUST-030,South,Time & Materials,On-site Repair,10,100.07,1000.7,2024-06-08,Overdue,2024-06-08,2024-06-19,2024-06,11,False
ORD-1074,CUST-097,West,Service Contract,Basic Plan,10,1396.7,13967.0,2024-11-17,Billed,2024-11-17,2024-11-19,2024-11,2,True
ORD-1075,CUST-078,North,Spare Parts,Control Board,9,885.34,7968.06,2024-07-08,Billed,2024-07-08,2024-07-17,2024-07,9,False
ORD-1076,CUST-088,North,Equipment,Motor Assembly,2,895.37,1790.74,2024-07-04,Overdue,2024-07-04,2024-07-18,2024-07,14,False
ORD-1077,CUST-118,South,Equipment,Sensor Unit,9,1932.67,17394.03,2024-05-18,Overdue,2024-05-18,2024-05-31,2024-05,13,False
ORD-1078,CUST-138,West,Equipment,Motor Assembly,10,573.37,5733.7,2024-05-05,Billed,2024-05-05,2024-05-10,2024-05,5,True
ORD-1079,CUST-116,South,Equipment,Display Panel,10,1352.97,13529.7,2024-06-21,Billed,2024-06-21,2024-06-29,2024-06,8,False
ORD-1080,CUST-084,South,Equipment,Sensor Unit,6,1605.77,9634.62,2024-06-23,Pending,2024-06-23,2024-07-03,2024-06,10,False
ORD-1081,CUST-071,North,Service Contract,Basic Plan,4,1454.15,5816.6,2024-09-07,Overdue,2024-09-07,2024-09-20,2024-09,13,False
ORD-1082,CUST-062,West,Equipment,Motor Assembly,1,231.45,231.45,2024-04-23,Pending,2024-04-23,2024-05-05,2024-04,12,False
ORD-1083,CUST-063,East,Time & Materials,Remote Support,9,1085.3,9767.7,2024-08-05,Overdue,2024-08-05,2024-08-14,2024-08,9,False
ORD-1084,CUST-085,East,Equipment,Motor Assembly,5,540.24,2701.2,2024-03-02,Overdue,2024-03-02,2024-03-06,2024-03,4,True
ORD-1085,CUST-081,North,Service Contract,Basic Plan,4,1490.28,5961.12,2024-05-21,Overdue,2024-05-21,2024-05-31,2024-05,10,False
ORD-1086,CUST-135,East,Spare Parts,Pump Seal,5,493.59,2467.95,2024-04-01,Pending,2024-04-01,2024-04-02,2024-04,1,True
ORD-1087,CUST-137,South,Time & Materials,On-site Repair,1,1129.05,1129.05,2024-12-23,Billed,2024-12-23,2025-01-03,2024-12,11,False
ORD-1088,CUST-126,North,Spare Parts,Control Board,8,983.49,7867.92,2024-06-23,Billed,2024-06-23,2024-06-24,2024-06,1,True
ORD-1089,CUST-065,West,Spare Parts,Filter Unit,7,1008.91,7062.37,2024-10-22,Overdue,2024-10-22,2024-11-02,2024-10,11,False
ORD-1090,CUST-014,South,Service Contract,Enterprise Plan,5,216.1,1080.5,2024-05-07,Billed,2024-05-07,2024-05-16,2024-05,9,False
ORD-1091,CUST-107,South,Equipment,Motor Assembly,8,629.84,5038.72,2024-10-28,Pending,2024-10-28,2024-11-02,2024-10,5,True
ORD-1092,CUST-146,North,Spare Parts,Pump Seal,4,566.06,2264.24,2024-02-11,Billed,2024-02-11,2024-02-15,2024-02,4,True
ORD-1093,CUST-045,North,Service Contract,Basic Plan,7,928.48,6499.36,2024-10-31,Pending,2024-10-31,2024-11-05,2024-10,5,True
ORD-1094,CUST-009,South,Time & Materials,Inspection Visit,5,1420.83,7104.15,2024-08-20,Billed,2024-08-20,2024-08-31,2024-08,11,False
ORD-1095,CUST-060,East,Service Contract,Premium Plan,2,1111.9,2223.8,2024-11-27,Billed,2024-11-27,2024-12-02,2024-11,5,True
ORD-1096,CUST-037,North,Spare Parts,Pump Seal,5,1210.34,6051.7,2024-10-18,Pending,2024-10-18,2024-10-26,2024-10,8,False
ORD-1097,CUST-032,West,Time & Materials,Inspection Visit,7,1888.22,13217.54,2024-09-13,Overdue,2024-09-13,2024-09-21,2024-09,8,False
ORD-1098,CUST-113,North,Spare Parts,Valve Kit,6,1227.24,7363.44,2024-01-14,Billed,2024-01-14,2024-01-18,2024-01,4,True
ORD-1099,CUST-148,North,Time & Materials,Inspection Visit,1,1538.06,1538.06,2024-03-30,Pending,2024-03-30,2024-04-08,2024-03,9,False
ORD-1100,CUST-114,East,Service Contract,Enterprise Plan,7,1287.83,9014.81,2024-09-08,Billed,2024-09-08,2024-09-16,2024-09,8,False
ORD-1101,CUST-090,West,Time & Materials,Remote Support,2,1722.58,3445.16,2024-06-17,Pending,2024-06-17,2024-06-29,2024-06,12,False
ORD-1102,CUST-127,East,Equipment,Display Panel,1,936.91,936.91,2024-06-10,Pending,2024-06-10,2024-06-16,2024-06,6,True
ORD-1103,CUST-030,West,Spare Parts,Valve Kit,7,155.7,1089.9,2024-09-22,Pending,2024-09-22,2024-10-02,2024-09,10,False
ORD-1104,CUST-128,West,Spare Parts,Pump Seal,5,1120.98,5604.9,2024-05-27,Pending,2024-05-27,2024-06-08,2024-05,12,False
ORD-1105,CUST-125,North,Spare Parts,Pump Seal,3,655.96,1967.88,2024-01-08,Overdue,2024-01-08,2024-01-15,2024-01,7,True
ORD-1106,CUST-024,South,Spare Parts,Valve Kit,2,1313.03,2626.06,2024-03-19,Pending,2024-03-19,2024-03-31,2024-03,12,False
ORD-1107,CUST-075,East,Equipment,Motor Assembly,8,525.28,4202.24,2024-10-09,Billed,2024-10-09,2024-10-16,2024-10,7,True
ORD-1108,CUST-049,South,Spare Parts,Control Board,7,712.76,4989.32,2024-09-16,Pending,2024-09-16,2024-09-30,2024-09,14,False
ORD-1109,CUST-001,East,Time & Materials,Inspection Visit,10,1997.86,19978.6,2024-09-07,Billed,2024-09-07,2024-09-15,2024-09,8,False
ORD-1110,CUST-138,West,Time & Materials,Remote Support,9,1537.6,13838.4,2024-07-12,Pending,2024-07-12,2024-07-18,2024-07,6,True
ORD-1111,CUST-049,South,Equipment,Sensor Unit,7,135.11,945.77,2024-08-30,Overdue,2024-08-30,2024-09-12,2024-08,13,False
ORD-1112,CUST-098,West,Service Contract,Premium Plan,1,296.18,296.18,2024-10-29,Pending,2024-10-29,2024-11-12,2024-10,14,False
ORD-1113,CUST-026,West,Spare Parts,Valve Kit,1,1458.77,1458.77,2024-07-28,Overdue,2024-07-28,2024-07-31,2024-07,3,True
ORD-1114,CUST-020,West,Time & Materials,Remote Support,10,1400.77,14007.7,2024-11-28,Billed,2024-11-28,2024-12-12,2024-11,14,False
ORD-1115,CUST-085,West,Time & Materials,Inspection Visit,8,1751.15,14009.2,2024-01-19,Overdue,2024-01-19,2024-01-21,2024-01,2,True
ORD-1116,CUST-061,East,Service Contract,Enterprise Plan,2,896.24,1792.48,2024-02-20,Overdue,2024-02-20,2024-03-03,2024-02,12,False
ORD-1117,CUST-026,West,Service Contract,Enterprise Plan,5,1811.68,9058.4,2024-01-24,Pending,2024-01-24,2024-02-06,2024-01,13,False
ORD-1118,CUST-015,East,Time & Materials,Remote Support,7,333.86,2337.02,2024-09-28,Pending,2024-09-28,2024-10-08,2024-09,10,False
ORD-1119,CUST-047,South,Service Contract,Basic Plan,10,1748.14,17481.4,2024-11-13,Overdue,2024-11-13,2024-11-17,2024-11,4,True
ORD-1120,CUST-128,South,Service Contract,Premium Plan,5,946.16,4730.8,2024-12-07,Billed,2024-12-07,2024-12-20,2024-12,13,False
ORD-1121,CUST-120,East,Service Contract,Basic Plan,8,1893.21,15145.68,2024-10-27,Pending,2024-10-27,2024-11-07,2024-10,11,False
ORD-1122,CUST-109,East,Equipment,Motor Assembly,4,1998.78,7995.12,2024-09-04,Billed,2024-09-04,2024-09-08,2024-09,4,True
ORD-1123,CUST-098,East,Time & Materials,Inspection Visit,5,92.78,463.9,2024-12-03,Pending,2024-12-03,2024-12-08,2024-12,5,True
ORD-1124,CUST-003,North,Equipment,Motor Assembly,4,1233.78,4935.12,2024-06-29,Billed,2024-06-29,2024-07-10,2024-06,11,False
ORD-1125,CUST-049,East,Service Contract,Enterprise Plan,2,1811.64,3623.28,2024-11-26,Billed,2024-11-26,2024-12-01,2024-11,5,True
ORD-1126,CUST-113,North,Time & Materials,Inspection Visit,3,225.76,677.28,2024-05-31,Pending,2024-05-31,2024-06-12,2024-05,12,False
ORD-1127,CUST-107,South,Service Contract,Basic Plan,9,1759.1,15831.9,2024-07-06,Overdue,2024-07-06,2024-07-15,2024-07,9,False
ORD-1128,CUST-070,South,Time & Materials,Remote Support,5,1505.79,7528.95,2024-06-22,Billed,2024-06-22,2024-06-30,2024-06,8,False
ORD-1129,CUST-020,South,Service Contract,Enterprise Plan,7,1936.18,13553.26,2024-10-12,Pending,2024-10-12,2024-10-14,2024-10,2,True
ORD-1130,CUST-102,North,Time & Materials,Inspection Visit,2,936.83,1873.66,2024-12-10,Overdue,2024-12-10,2024-12-21,2024-12,11,False
ORD-1131,CUST-068,West,Time & Materials,On-site Repair,4,969.38,3877.52,2024-11-13,Overdue,2024-11-13,2024-11-19,2024-11,6,True
ORD-1132,CUST-057,North,Equipment,Display Panel,5,1316.02,6580.1,2024-02-29,Billed,2024-02-29,2024-03-01,2024-02,1,True
ORD-1133,CUST-010,East,Equipment,Sensor Unit,2,507.86,1015.72,2024-10-02,Billed,2024-10-02,2024-10-09,2024-10,7,True
ORD-1134,CUST-117,East,Equipment,Display Panel,3,1776.56,5329.68,2024-12-01,Billed,2024-12-01,2024-12-15,2024-12,14,False
ORD-1135,CUST-126,West,Time & Materials,On-site Repair,6,473.68,2842.08,2024-08-15,Billed,2024-08-15,2024-08-29,2024-08,14,False
ORD-1136,CUST-093,North,Time & Materials,Inspection Visit,6,168.07,1008.42,2024-05-21,Billed,2024-05-21,2024-05-23,2024-05,2,True
ORD-1137,CUST-117,North,Service Contract,Enterprise Plan,10,1943.63,19436.3,2024-01-26,Pending,2024-01-26,2024-01-30,2024-01,4,True
ORD-1138,CUST-033,South,Spare Parts,Pump Seal,10,471.11,4711.1,2024-04-29,Pending,2024-04-29,2024-05-12,2024-04,13,False
ORD-1139,CUST-038,North,Time & Materials,On-site Repair,3,1103.42,3310.26,2024-03-30,Billed,2024-03-30,2024-04-10,2024-03,11,False
ORD-1140,CUST-007,South,Spare Parts,Control Board,4,1198.26,4793.04,2024-01-09,Billed,2024-01-09,2024-01-14,2024-01,5,True
ORD-1141,CUST-014,South,Equipment,Display Panel,2,1504.05,3008.1,2024-08-31,Pending,2024-08-31,2024-09-13,2024-08,13,False
ORD-1142,CUST-093,North,Equipment,Display Panel,4,1893.56,7574.24,2024-01-23,Overdue,2024-01-23,2024-02-05,2024-01,13,False
ORD-1143,CUST-134,East,Equipment,Display Panel,1,168.61,168.61,2024-09-02,Pending,2024-09-02,2024-09-09,2024-09,7,True
ORD-1144,CUST-028,West,Equipment,Sensor Unit,2,678.12,1356.24,2024-03-16,Billed,2024-03-16,2024-03-19,2024-03,3,True
ORD-1145,CUST-071,East,Equipment,Display Panel,9,625.05,5625.45,2024-09-15,Overdue,2024-09-15,2024-09-22,2024-09,7,True
ORD-1146,CUST-026,North,Service Contract,Premium Plan,8,1781.78,14254.24,2024-07-30,Pending,2024-07-30,2024-08-13,2024-07,14,False
ORD-1147,CUST-117,West,Equipment,Display Panel,2,659.47,1318.94,2024-06-09,Overdue,2024-06-09,2024-06-14,2024-06,5,True
ORD-1148,CUST-096,South,Equipment,Sensor Unit,2,1671.96,3343.92,2024-02-17,Pending,2024-02-17,2024-02-19,2024-02,2,True
ORD-1149,CUST-096,South,Spare Parts,Control Board,2,851.08,1702.16,2024-12-06,Pending,2024-12-06,2024-12-20,2024-12,14,False
ORD-1150,CUST-014,East,Time & Materials,Remote Support,2,1176.94,2353.88,2024-04-18,Billed,2024-04-18,2024-04-29,2024-04,11,False
ORD-1151,CUST-124,South,Spare Parts,Control Board,9,766.74,6900.66,2024-05-22,Overdue,2024-05-22,2024-05-26,2024-05,4,True
ORD-1152,CUST-110,North,Time & Materials,On-site Repair,3,582.88,1748.64,2024-06-07,Pending,2024-06-07,2024-06-13,2024-06,6,True
ORD-1153,CUST-002,South,Service Contract,Enterprise Plan,7,185.69,1299.83,2024-11-20,Billed,2024-11-20,2024-11-22,2024-11,2,True
ORD-1154,CUST-136,South,Equipment,Motor Assembly,8,714.75,5718.0,2024-07-08,Pending,2024-07-08,2024-07-20,2024-07,12,False
ORD-1155,CUST-084,North,Spare Parts,Pump Seal,3,1521.15,4563.45,2024-01-26,Overdue,2024-01-26,2024-01-28,2024-01,2,True
ORD-1156,CUST-070,West,Equipment,Motor Assembly,10,911.99,9119.9,2024-05-19,Billed,2024-05-19,2024-06-01,2024-05,13,False
ORD-1157,CUST-132,North,Time & Materials,Remote Support,2,602.33,1204.66,2024-12-13,Overdue,2024-12-13,2024-12-21,2024-12,8,False
ORD-1158,CUST-135,East,Spare Parts,Pump Seal,7,1969.67,13787.69,2024-01-29,Billed,2024-01-29,2024-02-02,2024-01,4,True
ORD-1159,CUST-078,South,Service Contract,Premium Plan,5,689.84,3449.2,2024-01-04,Pending,2024-01-04,2024-01-16,2024-01,12,False
ORD-1160,CUST-111,South,Service Contract,Premium Plan,9,1422.16,12799.44,2024-09-13,Overdue,2024-09-13,2024-09-27,2024-09,14,False
ORD-1161,CUST-091,North,Equipment,Display Panel,1,900.63,900.63,2024-08-23,Billed,2024-08-23,2024-09-06,2024-08,14,False
ORD-1162,CUST-081,West,Equipment,Display Panel,7,614.55,4301.85,2024-07-26,Billed,2024-07-26,2024-08-01,2024-07,6,True
ORD-1163,CUST-044,West,Time & Materials,On-site Repair,7,1696.74,11877.18,2024-05-04,Pending,2024-05-04,2024-05-14,2024-05,10,False
ORD-1164,CUST-103,North,Equipment,Motor Assembly,6,482.07,2892.42,2024-03-27,Billed,2024-03-27,2024-04-05,2024-03,9,False
ORD-1165,CUST-030,South,Time & Materials,Remote Support,3,510.72,1532.16,2024-03-15,Pending,2024-03-15,2024-03-19,2024-03,4,True
ORD-1166,CUST-045,South,Spare Parts,Pump Seal,8,954.71,7637.68,2024-10-15,Overdue,2024-10-15,2024-10-23,2024-10,8,False
ORD-1167,CUST-145,East,Time & Materials,On-site Repair,8,183.16,1465.28,2024-08-14,Overdue,2024-08-14,2024-08-19,2024-08,5,True
ORD-1168,CUST-071,North,Time & Materials,Inspection Visit,2,655.3,1310.6,2024-08-19,Billed,2024-08-19,2024-08-20,2024-08,1,True
ORD-1169,CUST-095,East,Spare Parts,Filter Unit,10,1208.46,12084.6,2024-07-15,Pending,2024-07-15,2024-07-25,2024-07,10,False
ORD-1170,CUST-142,North,Equipment,Display Panel,4,676.98,2707.92,2024-08-31,Overdue,2024-08-31,2024-09-03,2024-08,3,True
ORD-1171,CUST-016,West,Spare Parts,Control Board,2,1033.87,2067.74,2024-03-29,Billed,2024-03-29,2024-04-02,2024-03,4,True
ORD-1172,CUST-113,West,Service Contract,Premium Plan,6,1839.98,11039.88,2024-07-17,Pending,2024-07-17,2024-07-30,2024-07,13,False
ORD-1173,CUST-087,North,Time & Materials,On-site Repair,6,234.29,1405.74,2024-12-13,Pending,2024-12-13,2024-12-18,2024-12,5,True
ORD-1174,CUST-065,South,Time & Materials,On-site Repair,10,1344.04,13440.4,2024-06-28,Pending,2024-06-28,2024-07-09,2024-06,11,False
ORD-1175,CUST-101,South,Spare Parts,Control Board,9,784.52,7060.68,2024-06-17,Billed,2024-06-17,2024-06-28,2024-06,11,False
ORD-1176,CUST-135,North,Equipment,Display Panel,6,85.55,513.3,2024-06-07,Billed,2024-06-07,2024-06-11,2024-06,4,True
ORD-1177,CUST-088,West,Service Contract,Basic Plan,3,352.14,1056.42,2024-05-31,Billed,2024-05-31,2024-06-09,2024-05,9,False
ORD-1178,CUST-139,North,Time & Materials,Inspection Visit,3,1214.63,3643.89,2024-03-19,Billed,2024-03-19,2024-03-22,2024-03,3,True
ORD-1179,CUST-043,West,Spare Parts,Valve Kit,6,1368.91,8213.46,2024-05-01,Pending,2024-05-01,2024-05-11,2024-05,10,False
ORD-1180,CUST-073,West,Service Contract,Enterprise Plan,4,653.46,2613.84,2024-08-28,Billed,2024-08-28,2024-09-03,2024-08,6,True
ORD-1181,CUST-147,West,Equipment,Motor Assembly,7,1030.67,7214.69,2024-08-02,Billed,2024-08-02,2024-08-16,2024-08,14,False
ORD-1182,CUST-052,South,Time & Materials,On-site Repair,8,1754.53,14036.24,2024-10-10,Billed,2024-10-10,2024-10-22,2024-10,12,False
ORD-1183,CUST-133,North,Time & Materials,On-site Repair,3,581.94,1745.82,2024-09-19,Billed,2024-09-19,2024-10-03,2024-09,14,False
ORD-1184,CUST-112,North,Service Contract,Premium Plan,6,1864.42,11186.52,2024-07-31,Billed,2024-07-31,2024-08-07,2024-07,7,True
ORD-1185,CUST-129,East,Service Contract,Premium Plan,2,781.08,1562.16,2024-01-15,Pending,2024-01-15,2024-01-17,2024-01,2,True
